team,conference,SOR_raw,SOR_adj,wins,losses
Air Force,mountain west,0.0,0.0,0,0
Akron,mid-american,0.0,0.0,0,0
Alabama,sec,0.0,0.0,0,0
App State,sun belt,0.0,0.0,0,0
Arizona,big 12,0.0,0.0,0,0
Arizona State,big 12,0.0,0.0,0,0
Arkansas,sec,0.0,0.0,0,0
Arkansas State,sun belt,0.0,0.0,0,0
Army,american athletic,0.0,0.0,0,0
Auburn,sec,0.0,0.0,0,0
Ball State,mid-american,0.0,0.0,0,0
Baylor,big 12,0.0,0.0,0,0
Boise State,pac-12,0.0,0.0,0,0
Boston College,acc,0.0,0.0,0,0
Bowling Green,mid-american,0.0,0.0,0,0
Buffalo,mid-american,0.0,0.0,0,0
BYU,big 12,0.0,0.0,0,0
California,acc,0.0,0.0,0,0
Central Michigan,mid-american,0.0,0.0,0,0
Charlotte,american athletic,0.0,0.0,0,0
Cincinnati,big 12,0.0,0.0,0,0
Clemson,acc,0.0,0.0,0,0
Coastal Carolina,sun belt,0.0,0.0,0,0
Colorado,big 12,0.0,0.0,0,0
Colorado State,pac-12,0.0,0.0,0,0
Delaware,conference usa,0.0,0.0,0,0
Duke,acc,0.0,0.0,0,0
East Carolina,american athletic,0.0,0.0,0,0
Eastern Michigan,mid-american,0.00699300699300699,0.051282051282051246,1,0
Florida,sec,0.0,0.0,0,0
Florida Atlantic,american athletic,0.0,0.0,0,0
Florida International,conference usa,0.0,0.0,0,0
Florida State,acc,0.05454545454545453,0.39999999999999974,1,0
Fresno State,pac-12,0.0,0.0,0,0
Georgia,sec,0.0,0.0,0,0
Georgia Southern,sun belt,0.0,0.0,0,0
Georgia State,sun belt,0.0,0.0,0,0
Georgia Tech,acc,0.0,0.0,0,0
Hawai'i,mountain west,-0.4010695187165776,-2.9411764705882346,0,1
Houston,big 12,0.0,0.0,0,0
Illinois,big ten,0.0,0.0,0,0
Indiana,big ten,0.0,0.0,0,0
Iowa,big ten,0.0,0.0,0,0
Iowa State,big 12,0.0,0.0,0,0
Jacksonville State,conference usa,-0.5454545454545454,-3.9999999999999982,0,1
James Madison,sun belt,0.0,0.0,0,0
Kansas,big 12,0.0,0.0,0,0
Kansas State,big 12,0.0,0.0,0,0
Kennesaw State,conference usa,0.0,0.0,0,0
Kent State,mid-american,0.0,0.0,0,0
Kentucky,sec,0.0,0.0,0,0
Liberty,conference usa,0.0,0.0,0,0
Louisiana,sun belt,0.0,0.0,0,0
Louisiana Tech,sun belt,0.0,0.0,0,0
Louisville,acc,0.0,0.0,0,0
LSU,sec,0.0,0.0,0,0
Marshall,sun belt,0.0,0.0,0,0
Maryland,big ten,0.0,0.0,0,0
Massachusetts,mid-american,0.0,0.0,0,0
Memphis,american athletic,0.1363636363636364,1.0,1,0
Miami,acc,0.0,0.0,0,0
Miami (OH),mid-american,0.0,0.0,0,0
Michigan,big ten,0.0,0.0,0,0
